question,previewContents
솔비치 3인실 4인 가능한가요??,안녕하세요 방학때 삼척 솔비치로 놀러가기로 예정되어있었는데요 저희가 숙소는 3인실인데 사람인 넷이라 한명이 못 갈거같다하는데 3인실에 4명은 묵을 수 없는걸까요ㅠㅜ
여기 어디인지 알고싶습니다 (머더 미스터리 마지막장면),여기는 어디인가요
블루원 회원,안녕하세요 저희 숙모가 블루원 회원이여서 친구들과 콘도를 싸게 갈 수 있는 기회가 생겼습니다. 그런데 궁금한게 있어요 1. 지금 프라이빗콘도 55 를 예약하면 너무 늦나요?? 다 찼을까요? 2. 한달에 두번 예약이 가능한가요?
찝찝한 꿈,학원같은데에서 서해쪽으로 놀러가기로 했는데 지금이 7월23일이이구 27일에 서해바다로 가서 2박3일있다가 오는데요 친구네 아빠가 예수를 믿으셔요 근데 오늘 찝찝한 꿈을 꾸셨다는데 돌아가신 친구네 할머니께서 나오셔서 코로나 걸렸다고 그러시고 그다음은 기억이 안나신데요.. 너무 무서워서 가야될까 말아야될까 그랬는데 이 꿈 누가 좀 해석해주세요ㅜㅜ
코하우징 예랑 셰어 하우스 예 유니버설 예가 어떻게 되나요?,코하우징 예랑 셰어 하우스 예 유니버설 예가 어떻게 되나요?
진짜급해요ㅜㅜ스페인 관련 전시,현재 또는 8월 내에 전국 어디든지 간에 스페인이랑 관련된 전시같은거 하는 곳 있나요??
노보텔 앰배서더 용산점과 동대문점 비교해주세용,이번 여름 호캉스를 하려고 하는데 노보텔앰배서더가 좋더라구용 동대문점이랑 용산점 둘중에 한군대 가려고 하는데 차이를 잘 모르겠더라구용 제가 중요한 부분은 1. 조식 맛있는지 2. 수영장 넓은지 3. 뷰가 좋은지 4. 주변 놀거리 각각 비교해주셔도 되고 그냥 전체적으로 비교해주셔도되요!
홍천   행글라이더,강원도 홍천 근처나 가까운 곳에 행글라이더 하는곳 있나요?
화성 제부도 스쿠터,이번주 주말에 놀러가게 되는데 제부도 안에 스쿠터 대여해주는곳이 있나요?
우리나라의 매력적인 장소,1. 우리나라의 대표적인 지역과 그 지역의 랜드마크 특징 2. 우리나라의 대표적인 축제 (축제소개까지 이렇게 알려주시면 감사하겠습니다. 내일까지 숙제를 들고가야해서 최대한 빠르게 구체적으로 적어주시면 좋겠네요
가평산천GS25휴게소 전화번호,제목그대로 알고 계신분있니요...네이버에는 안뜨네요.0
아기 타이레놀,아기가 12개월인데 열이 38.5도 넘어가서 타이레놀을 먹였는데요 3.5ml 를 먹여야하는데 10ml를 먹였습니다ㅠ 제가 설명서를 잘못봤어요ㅠ 약먹이고 미지근한물로 몸담그니 열이 내려가서 재웠는데 하루 먹어야하는 양을 한꺼번에 먹인격이되서요ㅠ 밤이라 병원갈수도없고.. 낼아침에 병원가봐야할까요ㅠ?
외국인 차별금지법 영문 한글 동시번역,외국인 차별금지법 영문 한글 동시번역 된게 있나요? 한국 내의 법 알려주십시오 미국 시민분들만 please answer. 한국어가 완벽치 않아서... Sorry about that.
초6 낼모래 생파하는데,생일때 친구 댓명 정도랑 생파하는데요 장소나 할 것 추천요. 장소는 원주시 무실동 주변 *돈은 5만원 이내로 ***초6임
후지필름 워터프루프 카메라 사용법,후지필름 워터프루프 카메라 사용방법좀 알려주세요. 1. 개봉했을때부터 27이라고 써있는데 27장찍을수있다는건가요? 2. 아래로 내리는 버튼 딸깍했는데 안찍혀요.. 3. 동그란 톱니모양이있는데 그건 뭔가요?
현재 워털루전투의 유적지는,현재 워털루전투의 유적지는 어떻게 되어있나요? 그리고 관광객으로 오는 독일인영국인프랑스인들은 어떤 소감을 가지고 보나요?
독일에도 캐드원이 있나요?,독일에도 캐드원이 있나요?
영상 속 자작나무숲 바닷가 가로수길 풍력발전 강원도인가요??,예뻐서 찾아보는데 궁금하네요... 정확한 위치아시는분 답변 부탁드려용  https://youtu.be/GbTI-G8TdUs 저도 가보고싶네요..
그리스 지역에 필요한 상품 개발,안녕하세요 통사 수행평가인데 가고싶은나라를 정해서 이 나라에 필요한 상품을 개발하는 수행평가인데 일단 가고싶은 나라는 그리스고요 그래서 이 지역에 필요한 상품개발 하는것인데 상품명 쓰고 선정이유 판매전략 그리고 상품 그림으로 설명해야하고 개대효과(활용방안)도 써야해요ㅠㅠ 그리스에 필요한 상품이 뭐가있을까요..?ㅠㅠ 선정이유 하고 판매 전략도 알려주세요 그리고 상품설명도..그림으로.. 또 기대효과(활용방안)도 알려주세요 내공200이요ㅜㅜ
홍콩 팬더쿠키같은 맛의 우리나라 쿠키는 뭐가있나요?,홍콩 팬더쿠키같은 맛의 우리나라 쿠키는 뭐가 있나요??
제주 평준화 일반고-&gt;제주 특성화고,제주 평준화 일반고등학교에서 고1 여름방학때 제주 특성화고등학교로 전학을 가고 싶은데요.안되나요? 전입학 되는걸로 알고있는데 특성화고에 다니는 친구 담임선생님이 안된데요. 인원수가 차서가 아니라 전학이 불가능하다네요..왜죠? 진짜 안되나요?
스위스의 지리적 문화적 특징이 무엇인가요?,스위스의 문화나 지리적 특징을 조사해야 하는데 잘 모르겠어서요 ㅠㅠ 짧게라도 좋으니 아시는 분들은 답 남겨주셔요 보는대로 채택 해드리고 내공 걸겠습니다!
사회 숙제 해외여행 2박 3일 여행 코스,해외 아무데나 좋고 스위스라면 더 좋아요! 2박 3일 코스를 짜야하는데 공항에서부터 코스 짜주시면 감사하겠습니다~
레옹 디 오리지널,레옹과 레옹 디 오리지널 다른 점이 있나요? 있으면 알려주세요!
과학 중력을 이용한 시 만들기,과학시간에 중력을 주제로헌 시를 써야하는데 어떻게 써야할지 모르겠어요. 시좀 써서 알려주세요!!
아프리카TV별풍선한도늘리는법프조블패이,조블패이에서 회원가입을 하는대 저는 뭐 032 뭐096이런걸로시작하는게없는대어떻하죠??ㅂ1
영문으로 만들어 주세요^^,&lt; 대한민국 부산 광안대교 걷기대회 &gt; 이쁘게 문장 만들어주세요 ^^
애니메이션 찾습니다,미국 만화였던것같은데 약간 납작한 큰 우주선타고 전세계 유명한곳을 방문하고 우주선 나두는 기지 같은곳도있고 우주선 안에 타고 있던 친구들도 몇명있고 그 장소에 내려서 살피기도하고 그런것같은데.. 기억에 딱 남는 편은 프랑스루브르 박물관 그 피라미드모양 세모난 유리관 위를 날아가는 장면 입니다 8에서10년 전쯤에 봤던것같은데 꼭 찾아주세요 매년 기억나는데 제목이 기억이안나네요 ㅠㅠ주인공은 아이들 몇명이었던것같아요 중간중간에 그 장소관련 음악도나왔던것같네요
스피또2000,스피또2000 34회 출고내역및 당첨내역
홍콩회사설립처,홍콩회사설립처
서울랜드 알바를 27일부터 나가게되었는데요! 놀이시설 운행쪽으로 맡았구요!! 혹시 머리띠나 액세서리같은거 착,서울랜드 알바를 27일부터 나가게되었는데요! 놀이시설 운행쪽으로 맡았구요!! 혹시 머리띠나 액세서리같은거 착용이 가능한지가 궁금해요!! 그리고 머리스타일두 양갈래로 한다던지 해도되는지도 궁금하구요!! 서울랜드 알바 환경도 어떤지 알려주시면 감사하겠습니다(앗 그리구 혹시 액세서리나 머리디 착용가능하면 그거 거기서 주나요 아니면 제가 가져가야되는건가요?)
제주 인피니티 호텔 비투숙객전용,인피니티 풀 있는 호텔 중에 비투숙객이 돈내고 이용할수있는곳있나요...
위염 증상으로 프리겔 처방,6개월 전에 위가 쓰리고 타는듯하게 아파서 알지겐 처방받고 (큰병원) 먹으니까 잘 진정됐었는데 요즘에 또 위염이 생겼는지 똑같이 아파서 동네병원에서 프리겔이랑(스판톨정 위모탄정세토레드정에스원엠프정)을 처방받아서 먹었는데 속이 계속 쓰린느낌이 있습니다 알지겐 과 프리겔 차이가 있나요? 약을 다시 처방받아야 하는지 궁금합니다
샬랑드파리 추천인,샬랑드파리 추천인아이디 필요해용~
광주 월곡동 맛집.,광주 월곡동 맛집이나 간단하게 먹을수 있는 카페 같은데 좀 소개시켜주세요. 선생님하고 같이 가려는데 부담없이 즐길수 있는 걸로요. 이왕이면 거대한 식당보단 소박한 디저트 카페 같은걸로 부탁드려요.
지방시 짝퉁,몇년전에 산건데 짭인가요
우리나라에 kangaroo가 몇 마리가 있나요?,우리나라에 캥거루 몇 마리가 있나요? ​ ​ ​ ​ 우리나라 동물원에 캥거루가 몇 마리가 있습니까? 알려주세요.
일본의 전통놀이.,다양한 일본의 전통놀이 소개해 주세요. 출처:https://kin.naver.com/qna/detail.nhn?d1id=6&amp;dirId=61302&amp;docId=47019097&amp;qb=7KCE7Ya164aA7J20&amp;enc=utf8&amp;section=kin&amp;rank=2&amp;search_sort=0&amp;spq=0
국내에 해수욕장.,총 몇개나 있나요? 출처:https://kin.naver.com/qna/detail.nhn?d1id=9&amp;dirId=90101&amp;docId=106737317&amp;qb=6rWt64K0IO2VtOyImOyaleyepQ==&amp;enc=utf8&amp;section=kin&amp;rank=7&amp;search_sort=0&amp;spq=0
동주최씨 판윤공파,안녕하세요 제가 동주최씨의 판윤공파? 로 알고있습니다 근데 검색해보니 전주최씨가 뜨더라구요?? 네이버 동주최씨엔 5개 공파중에 판윤공파가 있구요 이게 도대체 어디 족보입네까? 내공 100점 겁니다!
서울양천구 금옥중학교에서 거제 수월중학교 가는방법,비행기지하철버스 복잡한거 말고 중학생도 쉽게 갈수있는 정도요! 비용걸리는 시간도 알려주세요 채택 드리겠습니당!
비 올 때 놀 수 있 는 곳 ~ ~ ~ ! ! ! !,제가 6학년인데염~~!!! 제 여친이랑 여자애들 남자애들이랑 요번주나 다음주 놀러가는데염~~~ -비 올때 놀수 있는곳 추천좀여 ^&amp;^ 저 서울에 사니깐 그 근처 추천부탁드리고염.... 돈은 별로 안드는데..... 출처 : https://kin.naver.com/qna/detail.nhn?d1id=13&amp;dirId=13040101&amp;docId=40411967&amp;qb=67mE7Jis65WM&amp;enc=utf8&amp;section=kin&amp;rank=60&amp;search_sort=0&amp;spq=0
펜션회원권이주택으로들어가나요?,사기군에게속아산콘도회원권이알고보니펜션회원권으로둔갑되어서주택으로들어간다는데공짜로준다해도팔리지도않고어떻게해결방안이없을까요?
절권도  학원,김해에 절권도 학원 있나요?
현철???,현철음반을 사니까 마음이풍성해진것가타요?
인천 송도 스쿠터 파는 곳,송도나 송도 밖 인천에 스쿠터 파는곳이 있을까요 가면 시승 같은것도 해볼 수 있나요?
러시아 오픈마켓 셀러 관련 질문,아마존 셀러와 같이 한국에서 러시아로 물건을 팔아보려고 하는데요 오존이나 알리익스프레스같은 플랫폼들이 있다는 것은 알고있습니다. 이런 사이트에서도 외국인이 셀러 자격으로 판매할 수 있는지 궁금합니다! (현지가 아닌 한국에서 유통)
티비 가격과 이름좀 가르켜 주세요,티비 가격과 이름좀 가르쳐 주세요 ㅠㅠ 급해요ㅠㅠㅠ
100년된 소나무 가격,아빠 산에 근사한 소나무를 조합장이란 사람이 아빠를 꼬셔서 캐간답니다. 이미 군청에 신고도 다했고요. 언덕위에 있는데 근처가 침식중이라 계곡처럼 깍였는데 어떻게 대처해야 하나요.ㅇ소나무 가격은 얼마정도하나요. 사진에는 작아보이지만 커요. 아빠는 90이 다되셔서 판단력이 흐리세요.
스위스 체르마트,스위스 체르마트 형성 과정 좀 알려주세요ㅠㅠ 진짜 급해요ㅠㅠ 내공40
가보고싶은섬 바다로티켓,바다로 티켓 가족권으로 끊고 혼자만 쓸수도잇는건가요? 개인이 ??
백령도 여행 문의,8월 3일-4일 1박 2일로 백령도 계획중 입니다. 아직 10여일 남기는 했지만 일기예보상에는 흐리고 비오는 것으로 되어 있어서요 물론 섬 특성상 변수는 많겠지만 둘이 가는데 배삯하고 숙박하고 비용이 만만치 안아서요 저는 맑은날 가고 싶은데 갈등이 되내요 오늘 내일 취소해야 100% 환불되는데 어떻게 할지 조언부탁드립니다
새대원 등록,부양가족이 7명일경우 1명은 세대원등록 안해도 35점 되는거죠?
1호가될순없어10 회때 김지혜 의상어디꺼에요,1호가될순없어10 회 김지혜의상 어디꺼에요
독일 유학 취업 너무 고민됩니다,몇번째 지식인에 조언을 구하는지 참.. 많은 고민이됩니다 생각하는 루트 1. 한국 대학 입학 &gt; 2년 재학후(재학중 중간중간 어학연수) &gt; 독일 대학 &gt; 취업 및 이민 2. 어학연수 1-2년 &gt; 아우스빌둥 취업 3. 한국 대학 입학 &gt; 중간 휴학 &gt; 어학연수&gt; 아우스빌둥 도전&gt; 불합격시 &gt;한국 컴백 1번은 기간도 상당하게 걸리고 준비할것도 많고 비용도 많이듭니다 .. 2번 은 간단하지만 도박 같은 생각이듭니다 아우스빌둥후 연계취업안되면 3년간의 시간이 물거품이 될거같아서 ㅠ 3번은 안전하다 생각이드는데 한국...
